Elevation,North,South,Total
4213.3,10377935.82,17424436.44,27802372.26
4213.4,10429855.82,17522656.44,27952512.26
4213.5,10481775.82,17620876.44,28102652.26
4213.6,10533775.02,17719096.44,28252871.46
4213.7,10586055.02,17817316.44,28403371.46
4213.8,10638335.02,17916189.64,28554524.66
4213.9,10690615.02,18015329.64,28705944.66
4214,10742895.02,18114469.64,28857364.66
4214.1,10795254.22,18213609.64,29008863.86
4214.2,10847894.22,18312749.64,29160643.86
4214.3,10900534.22,18412542.84,29313077.06
4214.4,10953174.22,18512602.84,29465777.06
4214.5,11005814.22,18612662.84,29618477.06
4214.6,11058533.42,18712722.84,29771256.26
4214.7,11111533.42,18812782.84,29924316.26
4214.8,11164533.42,18913496.04,30078029.46
4214.9,11217533.42,19014476.04,30232009.46
4215,11270533.42,19115456.04,30385989.46
4215.1,11323784.22,19216436.04,30540220.26
4215.2,11377924.22,19317416.04,30695340.26
4215.3,11432064.22,19418978.24,30851042.46
4215.4,11486204.22,19520778.24,31006982.46
4215.5,11540344.22,19622578.24,31162922.46
4215.6,11594933.02,19724378.24,31319311.26
4215.7,11651113.02,19826178.24,31477291.26
4215.8,11707293.02,19928489.44,31635782.46
4215.9,11763473.02,20031009.44,31794482.46
4216,11819653.02,20133529.44,31953182.46
4216.1,11876330.22,20236049.44,32112379.66
4216.2,11934770.22,20338569.44,32273339.66
4216.3,11993210.22,20441600.64,32434810.86
4216.4,12051650.22,20544840.64,32596490.86
4216.5,12110090.22,20648080.64,32758170.86
4216.6,12169031.82,20751320.64,32920352.46
4216.7,12229751.82,20854560.64,33084312.46
4216.8,12290471.82,20958326.04,33248797.86
4216.9,12351191.82,21062306.04,33413497.86
4217,12411911.82,21166286.04,33578197.86
4217.1,12473076.22,21270266.04,33743342.26
4217.2,12535816.22,21374246.04,33910062.26
4217.3,12598556.22,21478737.24,34077293.46
4217.4,12661296.22,21583437.24,34244733.46
4217.5,12724036.22,21688137.24,34412173.46
4217.6,12799809.02,21792837.24,34592646.26
4217.7,12921789.02,21897537.24,34819326.26
4217.8,13043769.02,22002762.64,35046531.66
4217.9,13165749.02,22108202.64,35273951.66
4218,13287729.02,22213642.64,35501371.66
4218.1,13401670.22,22319082.64,35720752.86
4218.2,13487110.22,22424522.64,35911632.86
4218.3,13572550.22,22530473.84,36103024.06
4218.4,13657990.22,22636633.84,36294624.06
